代號,名稱,年月日,報酬率％
1101,台泥,2020/06/03,0.8083
1101,台泥,2020/06/02,0.464
1101,台泥,2020/06/01,1.2926
1101,台泥,2020/05/29,0.4723
1101,台泥,2020/05/28,-1.1669
1101,台泥,2020/05/27,-0.3488
1101,台泥,2020/05/26,0.8206
1101,台泥,2020/05/25,0
1101,台泥,2020/05/22,-0.814
1101,台泥,2020/05/21,0.2331
1101,台泥,2020/05/20,-0.2326
1101,台泥,2020/05/19,1.5348
1101,台泥,2020/05/18,0.1182
1101,台泥,2020/05/15,-0.7042
1101,台泥,2020/05/14,-0.6993
1101,台泥,2020/05/13,-0.1164
1101,台泥,2020/05/12,-0.4635
1101,台泥,2020/05/11,0.3488
1101,台泥,2020/05/08,0.7026
1101,台泥,2020/05/07,0.2347
1101,台泥,2020/05/06,-0.5834
1101,台泥,2020/05/05,1.5403
1101,台泥,2020/05/04,-2.3148
1101,台泥,2020/04/30,1.5276
1101,台泥,2020/04/29,0.7101
1101,台泥,2020/04/28,0.5952
1101,台泥,2020/04/27,0
1101,台泥,2020/04/24,-0.3559
1101,台泥,2020/04/23,1.3221
1101,台泥,2020/04/22,-0.4785
1101,台泥,2020/04/21,-1.2987
1101,台泥,2020/04/20,0.8333
1101,台泥,2020/04/17,0.3584
1101,台泥,2020/04/16,0.1196
1101,台泥,2020/04/15,0.3601
1101,台泥,2020/04/14,2.0833
1101,台泥,2020/04/13,-0.4878
1101,台泥,2020/04/10,1.1097
1101,台泥,2020/04/09,-1.0976
1101,台泥,2020/04/08,2.6283
1101,台泥,2020/04/07,2.3047
1101,台泥,2020/04/06,0.1282
1101,台泥,2020/04/01,-1.2658
1101,台泥,2020/03/31,0.894
1101,台泥,2020/03/30,0.5135
1101,台泥,2020/03/27,0.9067
1101,台泥,2020/03/26,-0.5155
1101,台泥,2020/03/25,1.4379
1101,台泥,2020/03/24,5.9557
1101,台泥,2020/03/23,-2.3004
1101,台泥,2020/03/20,9.9702
1101,台泥,2020/03/19,-6.6667
1101,台泥,2020/03/18,-4.2553
1101,台泥,2020/03/17,-3.2175
1101,台泥,2020/03/16,-3.4783
