Date,50_Portfolio_Daily_Return,TW50TR_Daily_Return,
2021/2/23,2021/2/23,-0.004703724,-0.00244
2021/2/24,2021/2/24,-0.017609252,-0.017145
2021/2/25,2021/2/25,0.01565367,0.015381
2021/2/26,2021/2/26,-0.042532349,-0.039611
2021/3/2,2021/3/2,0.005035237,0.004242
2021/3/3,2021/3/3,0.018269035,0.018849
2021/3/4,2021/3/4,-0.027917957,-0.025067
2021/3/5,2021/3/5,-0.003231048,-0.002708
2021/3/8,2021/3/8,-0.006839478,-0.003877
2021/3/9,2021/3/9,-0.000729263,0.001555
2021/3/10,2021/3/10,0.004509892,0.003221
2021/3/11,2021/3/11,0.022028348,0.018629
2021/3/12,2021/3/12,0.006439395,0.006422
2021/3/15,2021/3/15,-0.00273811,-0.002477
2021/3/16,2021/3/16,0.006466127,0.004378
2021/3/17,2021/3/17,-0.007274607,-0.006802
2021/3/18,2021/3/18,0.003183739,0.002209
2021/3/19,2021/3/19,-0.017489559,-0.017508
2021/3/22,2021/3/22,0.006314424,0.006865
2021/3/23,2021/3/23,0.001950618,0.001232
2021/3/24,2021/3/24,-0.016988709,-0.016067
2021/3/25,2021/3/25,0.005661326,0.003641
2021/3/26,2021/3/26,0.021138555,0.017274
2021/3/29,2021/3/29,0.010794315,0.011016
2021/3/30,2021/3/30,0.005718886,0.003326
2021/3/31,2021/3/31,-0.012904007,-0.012132
2021/4/1,2021/4/1,0.013704557,0.01167
2021/4/6,2021/4/6,0.014138622,0.0109
2021/4/7,2021/4/7,0.003742801,0.001945
2021/4/8,2021/4/8,0.007400679,0.005368
2021/4/9,2021/4/9,-0.006185548,-0.005236
2021/4/12,2021/4/12,-0.006082131,-0.004898
2021/4/13,2021/4/13,0.00030222,0.001554
2021/4/14,2021/4/14,0.006879224,0.006412
2021/4/15,2021/4/15,0.015257359,0.012259
2021/4/16,2021/4/16,-0.002752949,-0.002015
2021/4/19,2021/4/19,-0.002814039,-0.001435
2021/4/20,2021/4/20,0.003171202,0.003074
2021/4/21,2021/4/21,-0.016302823,-0.014084
2021/4/22,2021/4/22,-0.001663696,-0.002383
2021/4/23,2021/4/23,0.019733171,0.014909
2021/4/26,2021/4/26,0.019687774,0.014755
2021/4/27,2021/4/27,-0.00014884,-0.000491
2021/4/28,2021/4/28,-0.006157064,-0.006558
2021/4/29,2021/4/29,0.000201253,-8.30E-05
2021/5/3,2021/5/3,-0.020099587,-0.019803
2021/5/4,2021/5/4,-0.007663655,-0.005899
2021/5/5,2021/5/5,-0.013058139,-0.009274
2021/5/6,2021/5/6,0.013311446,0.011332
2021/5/7,2021/5/7,0.020425582,0.016584
2021/5/10,2021/5/10,-0.015465899,-0.011346
2021/5/11,2021/5/11,-0.045460892,-0.036701
2021/5/12,2021/5/12,-0.03336378,-0.031773
2021/5/13,2021/5/13,-0.013383617,-0.014717
2021/5/14,2021/5/14,0.015254267,0.015812
2021/5/17,2021/5/17,-0.02162486,-0.02121
2021/5/18,2021/5/18,0.05783292,0.048417
2021/5/19,2021/5/19,-0.007843904,-0.007496
2021/5/20,2021/5/20,-0.005443555,-0.002833
2021/5/21,2021/5/21,0.014562547,0.01327
2021/5/24,2021/5/24,0.000414915,-0.003931
2021/5/25,2021/5/25,0.021954148,0.019983
2021/5/26,2021/5/26,0.000979799,0.000745
2021/5/27,2021/5/27,-0.004312879,-0.005467
2021/5/28,2021/5/28,0.01488626,0.013816
2021/5/31,2021/5/31,0.015213808,0.013379
2021/6/1,2021/6/1,-0.002139503,0.000429
2021/6/2,2021/6/2,-0.003834149,-0.002159
2021/6/3,2021/6/3,0.003592007,0.002204
2021/6/4,2021/6/4,-0.004743719,-0.003766
2021/6/7,2021/6/7,-0.003224518,-0.003928
2021/6/8,2021/6/8,-0.004664507,-0.003066
2021/6/9,2021/6/9,-0.008663385,-0.006388
2021/6/10,2021/6/10,0.018277196,0.016353
